소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,13900442,512,7110,1074756,10,81.4,82.8,27149.0,0.66,7.2,1.02
인플방문후기,2924216,99,1379,321501,5,17.1,16.0,29538.0,0.43,7.18,0.94
의료진정보,253563,7,127,37620,2,1.5,1.1,36223.0,0.34,5.51,0.73
