age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,477447,6,318,90786,0,2.4,1.0,79574.0,0.35,0.42,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,5001548,148,2394,546945,2,25.0,23.8,33794.0,0.44,0.95,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,8708733,270,4270,661618,5,43.5,43.5,32255.0,0.65,1.0,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,5855105,197,3155,479085,4,29.2,31.7,29721.0,0.66,1.09,➡️ 양호,⚠️ 귀속 주의 4건 포함
