hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,806896,22,499,74210,4.0,3.4,36677.0,0.67,4.41,0.85
1,524870,35,327,47719,2.6,5.4,14996.0,0.69,10.7,2.08
2,352941,11,223,30250,1.7,1.7,32086.0,0.74,4.93,1.0
3,277879,9,170,22425,1.4,1.4,30875.0,0.76,5.29,1.0
4,295305,11,159,20822,1.5,1.7,26846.0,0.76,6.92,1.13
5,422650,10,206,26231,2.1,1.5,42265.0,0.79,4.85,0.71
6,774322,31,456,46768,3.8,4.8,24978.0,0.98,6.8,1.26
7,1065772,23,555,69891,5.3,3.5,46338.0,0.79,4.14,0.66
8,1022001,26,484,70950,5.0,4.0,39308.0,0.68,5.37,0.8
9,918530,37,455,65481,4.5,5.7,24825.0,0.69,8.13,1.27
10,891710,42,397,64803,4.4,6.4,21231.0,0.61,10.58,1.45
11,888353,13,344,66275,4.4,2.0,68335.0,0.52,3.78,0.45
12,869424,28,372,72732,4.3,4.3,31051.0,0.51,7.53,1.0
13,862503,19,355,73406,4.3,2.9,45395.0,0.48,5.35,0.67
14,815544,12,378,74397,4.0,1.8,67962.0,0.51,3.17,0.45
15,934343,25,430,90742,4.6,3.8,37374.0,0.47,5.81,0.83
16,959880,25,484,101951,4.7,3.8,38395.0,0.47,5.17,0.81
17,1006567,22,457,104943,5.0,3.4,45753.0,0.44,4.81,0.68
18,1017548,25,490,102975,5.0,3.8,40702.0,0.48,5.1,0.76
19,1045684,30,495,102976,5.2,4.6,34856.0,0.48,6.06,0.88
20,1133584,49,557,114641,5.6,7.5,23134.0,0.49,8.8,1.34
21,1161856,48,668,120062,5.7,7.4,24205.0,0.56,7.19,1.3
22,1150480,59,670,121593,5.7,9.0,19500.0,0.55,8.81,1.58
23,1039818,40,625,109167,5.1,6.1,25995.0,0.57,6.4,1.2
