weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,3835409,129,1910,331377,4,16.5,16.8,29732.0,0.58,6.75,1.02
화,4378837,121,2054,365455,4,18.9,15.8,36189.0,0.56,5.89,0.84
수,3482496,132,1803,334249,5,15.0,17.2,26383.0,0.54,7.32,1.15
목,3637256,112,1799,316826,5,15.7,14.6,32476.0,0.57,6.23,0.93
금,3310693,106,1726,321049,5,14.3,13.8,31233.0,0.54,6.14,0.97
토,2977525,112,1746,268444,4,12.8,14.6,26585.0,0.65,6.41,1.14
일,1578119,55,889,132921,4,6.8,7.2,28693.0,0.67,6.19,1.06
