소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.61,4.79,32345.0,1,0.42,18.52,11444.0,-31.1,286.6,-64.6,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
인플방문후기,2,0.49,7.39,22763.0,8,0.58,6.54,28226.0,18.4,-11.5,24.0,재가공 효과 없음 — 원본 훅 복귀 검토
진료QnA,0,,,,1,0.38,11.27,24697.0,,,,데이터 부족 — 판정 불가
진료셀프캠,0,,,,6,0.63,7.75,24628.0,,,,데이터 부족 — 판정 불가
