weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,4156602,151,2092,356761,5,18.0,19.1,27527.0,0.59,7.22,1.06
화,4532392,127,2150,374658,5,19.6,16.0,35688.0,0.57,5.91,0.82
수,3482496,131,1803,334249,4,15.1,16.5,26584.0,0.54,7.27,1.09
목,3013211,94,1509,271130,4,13.0,11.9,32055.0,0.56,6.23,0.92
금,2906631,107,1563,282623,4,12.6,13.5,27165.0,0.55,6.85,1.07
토,3080906,107,1804,278967,4,13.3,13.5,28794.0,0.65,5.93,1.02
일,1936134,75,1151,169930,5,8.4,9.5,25815.0,0.68,6.52,1.13
