소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,5326758,239,2993,420866,7,68.0,72.4,22288.0,0.71,7.99,1.06
인플방문후기,2501363,91,1170,286221,2,32.0,27.6,27488.0,0.41,7.78,0.86
