age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,2113615,33,2458,483129,0,12.7,6.4,64049.0,0.51,0.5,⬇️ 효율 낮음 — 소재/타겟 최적화 검토,
35-44,3859071,133,2397,473389,3,23.1,25.8,29016.0,0.51,1.12,➡️ 양호,⚠️ 귀속 주의 3건 포함
45-54,6056052,201,3799,537904,3,36.3,39.0,30130.0,0.71,1.07,➡️ 양호,⚠️ 귀속 주의 3건 포함
≥55,4661740,149,3390,447760,3,27.9,28.9,31287.0,0.76,1.04,➡️ 양호,⚠️ 귀속 주의 3건 포함
