소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,3,0.66,5.24,26004.0,0,,,,,,,데이터 부족 — 판정 불가
인플방문후기,3,0.52,5.93,21674.0,1,0.74,4.4,28367.0,42.3,-25.8,30.9,재가공 효과 없음 — 원본 훅 복귀 검토
진료셀프캠,3,0.61,5.57,26703.0,3,0.72,5.99,25038.0,18.0,7.5,-6.2,"재가공 유효 — 클릭, 전환 모두 개선"
