소재구분,소재유형,소재명,집행지점목록,총비용,총전환,총클릭,총노출,마지막집행일,집행일수,CPA,CTR,CVR,상태
신규,의료진정보,"다이어트의 적!밥,빵,면","['서울', '일산']",1164972,65,968,104458,2026-03-16,42,17923.0,0.93,6.71,OFF
신규,의료진정보,주사형비만치료제 10년은,"['서울', '수원', '일산', '창원']",1333139,46,901,142188,2026-03-16,42,28981.0,0.63,5.11,OFF
신규,의료진정보,주사형비만치료제맞고 한의원찾아오신,"['일산', '천안']",107210,1,91,20905,2026-03-16,28,107210.0,0.44,1.1,OFF
신규,진료셀프캠,"50대 여성, 뱃살부터 늘어나는 이유","['부평', '창원']",192732,2,155,31448,2026-03-13,36,96366.0,0.49,1.29,OFF
신규,진료셀프캠,다이어트 빼는 게 아니라 찾는 것,"['대구', '부평', '서울', '수원', '창원', '천안']",366021,9,230,51834,2026-03-06,32,40669.0,0.44,3.91,OFF
신규,진료셀프캠,다이어트가 끝난 오늘 꼭 해주고 싶은,['수원'],25424,0,38,8517,2026-03-11,15,,0.45,0.0,OFF
신규,진료셀프캠,비교하는 순간 다이어트는 실패,['천안'],10764,1,6,2306,2026-02-19,11,10764.0,0.26,16.67,OFF
신규,진료셀프캠,살빼라고했지 적게 먹으라곤,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']",216906,4,136,20961,2026-03-07,21,54226.0,0.65,2.94,OFF
신규,진료셀프캠,주사형 비만치료제보다 더중요한이것,['일산'],379425,20,258,30813,2026-03-15,41,18971.0,0.84,7.75,OFF
재가공,의료진정보,다이어트는 왜 항상 요요로 끝날까,"['부평', '수원']",138986,2,101,21656,2026-03-15,27,69493.0,0.47,1.98,OFF
재가공,인플방문후기,맘껏 먹는 다이어트,"['대구', '부평', '서울', '수원']",161627,2,94,25241,2026-03-16,13,80814.0,0.37,2.13,OFF
재가공,인플방문후기,맘껏먹는 다이어트 한달후기,"['부평', '수원', '창원']",656488,13,293,75413,2026-03-16,11,50499.0,0.39,4.44,OFF
재가공,인플방문후기,먹으면서(대읽남),['수원'],87173,2,32,11893,2026-03-15,10,43586.0,0.27,6.25,OFF
재가공,인플방문후기,요요없는,"['대구', '부평', '서울', '수원', '일산', '천안']",136823,4,74,25997,2026-03-16,14,34206.0,0.28,5.41,OFF
재가공,인플방문후기,체지방만쏙빼는(부산잇츠),"['대구', '부평', '수원', '창원', '천안']",3264520,96,2091,333589,2026-03-16,25,34005.0,0.63,4.59,OFF
재가공,진료셀프캠,명절음식 급찐살 칼로리 문제가 아닙니다,"['대구', '부평', '수원', '일산', '창원', '천안']",100932,2,72,28932,2026-03-15,24,50466.0,0.25,2.78,OFF
재가공,진료셀프캠,밥빵면 못끊던 40대 여성이,['부평'],9353,0,0,1056,2026-03-13,3,,0.0,,OFF
재가공,진료셀프캠,주사형비만치료제 고민끝에 -32kg 가능했던,['창원'],221772,7,140,21835,2026-03-16,18,31682.0,0.64,5.0,OFF
재가공,진료셀프캠,주사형비만치료제 고민끝에 40대부부 -32kg,['천안'],384510,12,208,29634,2026-03-15,19,32042.0,0.7,5.77,OFF
재가공,진료셀프캠,창원 다이어트 성지,['창원'],16689,1,4,2612,2026-03-13,5,16689.0,0.15,25.0,OFF
