소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,2,0.54,4.05,36624.0,0,,,,,,,데이터 부족 — 판정 불가
인플방문후기,5,0.5,6.38,23121.0,4,0.71,6.16,20030.0,42.0,-3.4,-13.4,재가공 효과 없음 — 원본 훅 복귀 검토
진료셀프캠,3,0.6,6.35,24217.0,8,0.59,7.73,23173.0,-1.7,21.7,-4.3,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
