age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,477447,6,318,90786,0,2.3,0.9,79574.0,0.35,0.39,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,5198564,160,2514,573799,3,24.5,23.1,32491.0,0.44,0.94,➡️ 양호,⚠️ 귀속 주의 3건 포함
45-54,9202239,310,4615,707040,6,43.4,44.7,29685.0,0.65,1.03,➡️ 양호,⚠️ 귀속 주의 6건 포함
≥55,6301733,217,3501,517320,6,29.8,31.3,29040.0,0.68,1.05,➡️ 양호,⚠️ 귀속 주의 6건 포함
