hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,848741,26,524,78915,4.0,3.6,32644.0,0.66,4.96,0.9
1,555760,37,345,50907,2.6,5.1,15021.0,0.68,10.72,1.96
2,377392,13,243,32698,1.8,1.8,29030.0,0.74,5.35,1.0
3,300359,10,186,24332,1.4,1.4,30036.0,0.76,5.38,1.0
4,317211,11,176,22676,1.5,1.5,28837.0,0.78,6.25,1.0
5,458333,11,233,28507,2.2,1.5,41667.0,0.82,4.72,0.68
6,827716,34,486,49986,3.9,4.7,24345.0,0.97,7.0,1.21
7,1127499,26,582,73894,5.3,3.6,43365.0,0.79,4.47,0.68
8,1105183,27,529,76863,5.2,3.7,40933.0,0.69,5.1,0.71
9,975893,38,497,70588,4.6,5.3,25681.0,0.7,7.65,1.15
10,936522,45,425,69231,4.4,6.2,20812.0,0.61,10.59,1.41
11,928761,16,375,70754,4.4,2.2,58048.0,0.53,4.27,0.5
12,917263,35,409,78124,4.3,4.8,26208.0,0.52,8.56,1.12
13,906951,22,376,78169,4.3,3.0,41225.0,0.48,5.85,0.7
14,861368,14,410,78791,4.0,1.9,61526.0,0.52,3.41,0.48
15,981691,28,463,95607,4.6,3.9,35060.0,0.48,6.05,0.85
16,1010640,27,534,107825,4.7,3.7,37431.0,0.5,5.06,0.79
17,1053136,23,499,110217,4.9,3.2,45789.0,0.45,4.61,0.65
18,1057820,29,520,107722,5.0,4.0,36477.0,0.48,5.58,0.8
19,1089598,35,538,108127,5.1,4.8,31131.0,0.5,6.51,0.94
20,1179119,51,594,119408,5.5,7.1,23120.0,0.5,8.59,1.29
21,1209740,52,704,125449,5.7,7.2,23264.0,0.56,7.39,1.26
22,1194598,66,700,126464,5.6,9.1,18100.0,0.55,9.43,1.62
23,1079341,46,664,113595,5.1,6.4,23464.0,0.58,6.93,1.25
