소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,5096714,229,2880,409035,7,67.3,72.7,22256.0,0.7,7.95,1.08
인플방문후기,2475522,86,1160,283431,2,32.7,27.3,28785.0,0.41,7.41,0.83
