소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
인플방문후기,1,0.41,7.28,29575.0,1,0.78,11.76,5890.0,90.2,61.5,-80.1,"재가공 유효 — 클릭, 전환 모두 개선"
진료셀프캠,0,,,,7,0.69,8.26,21656.0,,,,데이터 부족 — 판정 불가
