weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,3949641,136,1974,340088,5,17.1,17.1,29041.0,0.58,6.89,1.0
화,4378837,121,2054,365455,4,19.0,15.2,36189.0,0.56,5.89,0.8
수,3482496,131,1803,334249,4,15.1,16.5,26584.0,0.54,7.27,1.09
목,3013211,94,1509,271130,4,13.1,11.8,32055.0,0.56,6.23,0.9
금,2906631,107,1563,282623,4,12.6,13.5,27165.0,0.55,6.85,1.07
토,3366158,133,2021,306421,5,14.6,16.7,25309.0,0.66,6.58,1.14
일,1936134,73,1151,169930,5,8.4,9.2,26522.0,0.68,6.34,1.1
