weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,935196,48,653,69747,2,18.8,18.7,19483.0,0.94,7.35,0.99
화,272203,9,146,17851,1,5.5,3.5,30245.0,0.82,6.16,0.64
수,163509,8,101,10450,1,3.3,3.1,20439.0,0.97,7.92,0.94
목,611432,21,338,42574,1,12.3,8.2,29116.0,0.79,6.21,0.67
금,1031836,69,957,88505,2,20.8,26.8,14954.0,1.08,7.21,1.29
토,976057,50,901,102367,2,19.7,19.5,19521.0,0.88,5.55,0.99
일,976170,52,1049,104426,2,19.7,20.2,18772.0,1.0,4.96,1.03
