소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
인플방문후기,338482,19,175,39591,1,6.9,7.5,17815.0,0.44,10.86,1.09
진료셀프캠,4597657,236,3944,392432,11,93.1,92.5,19482.0,1.01,5.98,0.99
의료진정보,4657,0,3,579,1,0.1,0.0,,0.52,0.0,0.0
