소재구분_신규,소재유형,소재명,집행지점목록_신규,집행지점분포_신규,집행지점수_신규,총비용_신규,총전환_신규,총클릭_신규,총노출_신규,총랜딩_신규,집행일수_신규,귀속주의건수_신규,매칭키_신규,CPA_신규,CTR_신규,CVR_신규,랜딩률_신규,평가가능_신규,TIER_신규,TIER_근거_신규,지점편중주석_신규,지점별_상대평가_신규,소재구분_재가공,집행지점목록_재가공,집행지점분포_재가공,집행지점수_재가공,총비용_재가공,총전환_재가공,총클릭_재가공,총노출_재가공,총랜딩_재가공,집행일수_재가공,귀속주의건수_재가공,매칭키_재가공,CPA_재가공,CTR_재가공,CVR_재가공,랜딩률_재가공,평가가능_재가공,TIER_재가공,TIER_근거_재가공,지점편중주석_재가공,지점별_상대평가_재가공,match_type,CTR_변화율,CTR_변화,CVR_변화율,CVR_변화,CPA_변화율,CPA_변화,훅판정
신규,진료셀프캠,다이어트 실패 진짜 이유,['대구'],{'대구': 4},1,6850,1,9,1826,0,4,0,진료셀프캠_다이어트 실패 진짜 이유,6850.0,0.49,11.11,0.0,False,UNCLASSIFIED,집행 4일 — 데이터 누적 중,"[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",[V] 대구 TOP (30%) | [V] 일산 TOP (69%),재가공,"['대전', '부산', '부평', '서울', '수원', '일산', '창원', '천안']","{'부산': 4, '일산': 4, '서울': 4, '부평': 4, '수원': 4, '천안': 4, '대전': 4, '창원': 4}",8,97879,3,82,16846,0,4,0,진료셀프캠_다이어트 실패 진짜 이유,32626.0,0.49,3.66,0.0,False,UNCLASSIFIED,집행 4일 — 데이터 누적 중,,[V] 대구 TOP (30%) | [V] 일산 TOP (69%),strict,0.0,0.49% -> 0.49% (0.0%),-67.1,11.11% -> 3.66% (-67.1%),376.3,"6,850원 -> 32,626원 (+376.3%)",재가공 효과 없음 — 원본 훅 복귀 검토
신규,진료셀프캠,쉬운다이어트함정,['대구'],{'대구': 4},1,8135,1,5,2165,0,4,0,진료셀프캠_쉬운다이어트함정,8135.0,0.23,20.0,0.0,False,UNCLASSIFIED,집행 4일 — 데이터 누적 중,"[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",[V] 대구 TOP (36%) | [V] 부평 TOP (25%) | [V] 일산 TOP (34%) | [V] 창원 TOP (28%),재가공,"['대전', '부산', '부평', '서울', '수원', '일산', '창원', '천안']","{'부산': 4, '창원': 4, '일산': 4, '부평': 4, '대전': 4, '서울': 4, '천안': 4, '수원': 4}",8,89044,6,69,17312,0,4,0,진료셀프캠_쉬운다이어트함정,14841.0,0.4,8.7,0.0,False,UNCLASSIFIED,집행 4일 — 데이터 누적 중,,[V] 대구 TOP (36%) | [V] 부평 TOP (25%) | [V] 일산 TOP (34%) | [V] 창원 TOP (28%),strict,73.9,0.23% -> 0.40% (+73.9%),-56.5,20.00% -> 8.70% (-56.5%),82.4,"8,135원 -> 14,841원 (+82.4%)","부분 효과 — 클릭 UP, 전환 DOWN (랜딩 불일치 가능성)"
