age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,532991.0,7,386,99563,0,2.2,0.8,76142.0,0.39,0.36,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,6041036.0,196,2973,669543,3,24.4,23.4,30822.0,0.44,0.96,➡️ 양호,⚠️ 귀속 주의 3건 포함
45-54,10737957.0,370,5417,830352,7,43.4,44.2,29022.0,0.65,1.02,➡️ 양호,⚠️ 귀속 주의 7건 포함
≥55,7417261.0,264,4159,606162,7,30.0,31.5,28096.0,0.69,1.05,➡️ 양호,⚠️ 귀속 주의 7건 포함
