소재구분,소재유형,소재명,집행지점목록,총비용,총전환,총클릭,총노출,마지막집행일,집행일수,CPA,CTR,CVR,상태
신규,의료진정보,"다이어트의 적!밥,빵,면","['서울', '일산']",224656,10,134,20847,2026-03-29,27,22466.0,0.64,7.46,OFF
신규,의료진정보,주사형비만치료제 10년은,"['서울', '수원', '일산']",134245,1,83,13414,2026-03-29,23,134245.0,0.62,1.2,OFF
신규,인플방문후기,50대엄마 혈당다이어트(햅삐),"['대구', '부평']",193217,2,121,19586,2026-03-29,13,96608.0,0.62,1.65,OFF
신규,인플방문후기,건강한다이어트(박고경),"['대구', '서울', '수원', '일산', '창원', '천안']",47398,3,21,2054,2026-03-28,4,15799.0,1.02,14.29,OFF
신규,인플방문후기,당뇨다이어트(대읽남),['대구'],56566,1,24,9127,2026-03-29,17,56566.0,0.26,4.17,OFF
신규,인플방문후기,더먹어야 다이어트 가능(더먹어유),"['부평', '수원', '창원', '천안']",739499,14,381,73720,2026-03-29,17,52821.0,0.52,3.67,OFF
신규,인플방문후기,먹을거 다먹으면서(미미),"['수원', '창원']",171061,1,66,17488,2026-03-29,13,171061.0,0.38,1.52,OFF
신규,진료셀프캠,다이어트 빼는 게 아니라 찾는 것,['천안'],1756,0,0,214,2026-03-05,5,,0.0,,OFF
신규,진료셀프캠,주사형 비만치료제보다 더중요한이것,"['대구', '부평', '서울', '일산', '천안']",2227377,116,1318,222516,2026-03-29,29,19202.0,0.59,8.8,OFF
재가공,의료진정보,비만주사 굶는다이어트,"['대구', '부평', '서울', '수원', '창원', '천안']",293118,3,113,35437,2026-03-29,10,97706.0,0.32,2.65,OFF
재가공,의료진정보,비만주사요요 탄수중독,"['부평', '수원', '창원', '천안']",195043,2,82,19275,2026-03-29,10,97522.0,0.43,2.44,OFF
재가공,인플방문후기,끝내주는 다이어트(창원언니쓰),['창원'],136781,4,48,15373,2026-03-29,21,34195.0,0.31,8.33,OFF
재가공,인플방문후기,맘껏 먹는 다이어트,"['대구', '부평', '서울', '수원']",161627,2,94,25241,2026-03-29,26,80814.0,0.37,2.13,OFF
재가공,인플방문후기,맘껏먹는 다이어트 한달후기,"['대구', '부평', '수원', '창원', '천안']",1555936,36,726,160964,2026-03-29,24,43220.0,0.45,4.96,OFF
재가공,인플방문후기,먹으면서(대읽남),"['서울', '수원', '일산', '창원']",281293,12,123,36314,2026-03-28,23,23441.0,0.34,9.76,OFF
재가공,인플방문후기,요요없는,"['대구', '부평', '서울', '수원', '일산', '천안']",136823,4,74,25997,2026-03-29,25,34206.0,0.28,5.41,OFF
재가공,인플방문후기,체지방만쏙빼는(부산잇츠),"['대구', '부평', '수원', '창원', '천안']",1028276,26,441,92238,2026-03-29,29,39549.0,0.48,5.9,OFF
재가공,진료셀프캠,50대 20대처럼 체지방,"['수원', '창원', '천안']",200526,1,87,23199,2026-03-29,13,200526.0,0.38,1.15,OFF
재가공,진료셀프캠,50대 뱃살 체지방만,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']",285092,14,120,34771,2026-03-29,13,20364.0,0.35,11.67,OFF
재가공,진료셀프캠,밥빵면 못끊던 40대 여성이,"['부평', '창원']",44662,0,19,6360,2026-03-27,15,,0.3,0.0,OFF
재가공,진료셀프캠,복부비만 50대 통짜몸매,['일산'],28725,3,18,3558,2026-03-26,13,9575.0,0.51,16.67,OFF
재가공,진료셀프캠,비만주사없이 체질,"['부평', '서울', '일산', '창원']",408626,10,210,37448,2026-03-29,10,40863.0,0.56,4.76,OFF
재가공,진료셀프캠,상체비만 40대 팔뚝살부터,['천안'],231000,4,95,17586,2026-03-29,19,57750.0,0.54,4.21,OFF
재가공,진료셀프캠,수원사는 50대 직장인,['수원'],45715,0,15,5547,2026-03-29,11,,0.27,0.0,OFF
재가공,진료셀프캠,인천사는 50대 직장인,['부평'],56926,1,31,6680,2026-03-27,12,56926.0,0.46,3.23,OFF
재가공,진료셀프캠,주사형비만치료제 고민끝에 -32kg 가능했던,['창원'],66622,0,37,6997,2026-03-29,18,,0.53,0.0,OFF
재가공,진료셀프캠,주사형비만치료제 고민끝에 40대부부 -32kg,['천안'],127868,3,49,9524,2026-03-29,21,42623.0,0.51,6.12,OFF
재가공,진료셀프캠,주사형비만치료제 고민끝에 50대부부 -32kg,['수원'],355711,9,123,36979,2026-03-29,29,39523.0,0.33,7.32,OFF
재가공,진료셀프캠,창원 다이어트 성지,['창원'],32709,2,8,3900,2026-03-29,14,16354.0,0.21,25.0,OFF
재가공,진료셀프캠,하체비만 40대 통짜바지,['수원'],322876,6,97,32476,2026-03-29,19,53813.0,0.3,6.19,OFF
