소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.86,11.86,14165.0,1,0.34,10.0,26898.0,-60.5,-15.7,89.9,재가공 효과 없음 — 원본 훅 복귀 검토
인플방문후기,2,0.48,9.88,22256.0,7,0.71,8.85,19994.0,47.9,-10.4,-10.2,재가공 효과 없음 — 원본 훅 복귀 검토
진료셀프캠,0,,,,5,0.61,8.71,23157.0,,,,데이터 부족 — 판정 불가
