캠페인 이름,광고 이름,광고 ID,일별,비용,노출수,CPM,클릭수(목적지),CPC(목적지),CTR(목적지),전환수,전환당 비용,전환율(CVR),빈도,동영상 조회수,통화,랜딩 페이지 조회(웹사이트),도달,2초 시청,6초 시청,25% 시청 완료,50% 시청 완료,75% 시청 완료,100% 시청 완료,평균 재생 시간,좋아요,댓글,공유,팔로우,프로필 방문,15초 시청
2601_다이트_전환캠페인,수원_의료진정보_주사형비만치료제 10년은_260116,1853174467029105,2026-02-02,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,"일산_의료진정보_다이어트의 적!밥,빵,면_251208",1853174573584385,2026-02-02,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,일산_의료진정보_주사형비만치료제 10년은_260116,1853174573584433,2026-02-02,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,일산_진료셀프캠_밥빵면 안먹는데 요요_260101,1853174573584417,2026-02-02,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,창원_의료진정보_위고비마운자로 10년은_260116,1853174638246945,2026-02-02,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,창원_진료셀프캠_4050 다이어트 왜 힘든지_260101,1853174638246913,2026-02-02,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,"창원_진료셀프캠_50대 여성, 뱃살부터 늘어나는 이유_251106",1853174638245937,2026-02-02,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,창원_진료셀프캠_창원에 샤넬은 없지만_251217,1853174638245921,2026-02-02,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,"천안_의료진정보_다이어트의 적!밥,빵,면_251215",1853174573611089,2026-02-02,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,천안_의료진정보_주사형비만치료제 10년은_260116,1853174573613057,2026-02-02,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2602_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1856011845555218,2026-02-03,12353,922,13398,6,2058,0.65,2,6176,33.33,1.07,920,KRW,6,865,236,95,72,51,33,16,3.03,2,0,0,0,1,55
2602_다이트_전환캠페인,(신)_대구_인플방문후기_먹으면서 다이어트(대읽남)_251017,1856011845553186,2026-02-03,54344,4323,12570,21,2587,0.49,4,13586,19.05,1.1,4262,KRW,13,3919,858,264,346,206,166,144,5.01,4,0,0,0,8,156
2602_다이트_전환캠페인,(신)_대구_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856011845553202,2026-02-03,1345,131,10267,1,1345,0.76,0,0,0.0,1.07,129,KRW,0,123,14,4,4,2,1,0,1.47,0,0,0,0,0,2
2602_다이트_전환캠페인,(신)_대구_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856011845555202,2026-02-03,1193,91,13109,0,0,0.0,0,0,0.0,1.02,89,KRW,0,89,22,5,8,3,3,2,2.28,0,0,0,0,0,3
2602_다이트_전환캠페인,(신)_대구_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1856011845555234,2026-02-03,27051,2045,13227,18,1502,0.88,1,27051,5.56,1.08,2023,KRW,13,1889,565,223,191,125,93,40,3.26,6,0,0,0,1,135
2602_다이트_전환캠페인,(신)_부평_의료진정보_주사형비만치료제 10년은_260116,1856010851355953,2026-02-03,82293,6191,13292,26,3165,0.42,3,27431,11.54,1.12,6125,KRW,19,5526,1747,802,659,383,280,163,3.67,17,0,6,1,6,433
2602_다이트_전환캠페인,"(신)_부평_진료셀프캠_50대 여성, 뱃살부터 늘어나는 이유_251208",1856010851355905,2026-02-03,7707,777,9918,4,1926,0.51,1,7707,25.0,1.02,766,KRW,3,760,175,65,76,47,40,27,2.84,2,0,0,0,2,43
2602_다이트_전환캠페인,(신)_부평_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856010851355921,2026-02-03,10462,1062,9851,1,10462,0.09,1,10462,100.0,1.09,1043,KRW,1,978,151,53,46,25,17,13,1.87,0,0,0,0,0,22
2602_다이트_전환캠페인,(신)_부평_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856010851355937,2026-02-03,8053,446,18056,2,4026,0.45,0,0,0.0,1.11,428,KRW,2,403,92,38,43,28,16,11,2.81,1,0,0,0,0,19
2602_다이트_전환캠페인,(신)_부평_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1856010851356865,2026-02-03,45658,3246,14065,19,2403,0.59,1,45658,5.26,1.1,3195,KRW,18,2938,852,336,281,190,141,73,3.76,9,0,0,1,1,205
2602_다이트_전환캠페인,"(신)_서울_의료진정보_다이어트의 적!밥,빵,면_251020",1856010540141713,2026-02-03,7733,555,13933,7,1104,1.26,0,0,0.0,1.01,548,KRW,6,551,172,49,48,23,13,8,2.9,1,0,0,0,0,24
2602_다이트_전환캠페인,(신)_서울_의료진정보_주사형비만치료제 10년은_260116,1856010540142849,2026-02-03,71041,5008,14185,35,2029,0.7,6,11840,17.14,1.07,4914,KRW,27,4677,1428,713,580,377,273,166,4.05,13,1,2,1,5,423
2602_다이트_전환캠페인,(신)_서울_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856010540141729,2026-02-03,8658,751,11528,2,4329,0.27,0,0,0.0,1.06,708,KRW,0,706,122,40,35,24,15,13,2.12,0,0,0,0,0,23
2602_다이트_전환캠페인,(신)_서울_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856010540141745,2026-02-03,6938,337,20587,4,1734,1.19,1,6938,25.0,1.08,328,KRW,3,313,93,41,41,26,20,15,3.0,0,0,0,0,0,22
2602_다이트_전환캠페인,(신)_서울_진료셀프캠_주사형 비만치료제보다 더중요한이것_26120,1856010540142865,2026-02-03,13269,936,14176,14,947,1.5,0,0,0.0,1.02,924,KRW,13,918,319,160,139,97,83,40,4.75,4,0,1,0,0,106
2602_다이트_전환캠페인,(신)_수원_의료진정보_주사형비만치료제 10년은_260116,1856011253736641,2026-02-03,27955,2082,13426,15,1863,0.72,2,13977,13.33,1.07,2058,KRW,10,1945,635,346,284,185,140,89,4.41,6,1,2,1,2,199
2602_다이트_전환캠페인,(신)_수원_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856011253734433,2026-02-03,3163,308,10269,0,0,0.0,0,0,0.0,1.06,301,KRW,0,290,46,10,10,6,3,3,1.76,0,0,0,0,0,6
2602_다이트_전환캠페인,(신)_수원_진료셀프캠_다이어트가 끝난 오늘 꼭 해주고 싶은_260123,1856011253734417,2026-02-03,1735,444,3907,4,433,0.9,0,0,0.0,1.02,440,KRW,1,436,74,24,20,12,6,4,2.35,2,0,0,0,1,12
2602_다이트_전환캠페인,(신)_수원_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856011253734449,2026-02-03,1585,131,12099,0,0,0.0,0,0,0.0,1.03,127,KRW,0,127,26,17,17,13,10,3,3.02,0,0,0,0,0,10
2602_다이트_전환캠페인,(신)_수원_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1856011253736657,2026-02-03,80653,5831,13831,41,1967,0.7,1,80653,2.44,1.16,5740,KRW,34,5030,2006,791,679,454,331,144,4.08,11,0,2,3,8,474
2602_다이트_전환캠페인,"(신)_일산_의료진정보_다이어트의 적!밥,빵,면_251208",1856011598448690,2026-02-03,1766,129,13689,1,1766,0.78,0,0,0.0,1.01,128,KRW,1,128,37,9,9,2,2,2,2.52,0,0,0,0,1,2
2602_다이트_전환캠페인,(신)_일산_의료진정보_주사형비만치료제 10년은_260116,1856011598449698,2026-02-03,27033,1723,15689,10,2703,0.58,0,0,0.0,1.05,1698,KRW,6,1647,518,244,200,137,100,60,4.24,3,0,4,0,3,147
2602_다이트_전환캠페인,(신)_일산_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856011598449666,2026-02-03,2437,263,9266,2,1218,0.76,3,812,150.0,1.03,252,KRW,1,256,41,12,10,9,7,5,2.13,1,0,0,0,0,10
2602_다이트_전환캠페인,(신)_일산_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856011598449682,2026-02-03,3319,114,29114,1,3319,0.88,0,0,0.0,1.01,109,KRW,1,113,31,12,14,11,9,7,3.6,1,0,0,0,0,10
2602_다이트_전환캠페인,(신)_일산_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1856011598449714,2026-02-03,3647,187,19502,4,911,2.14,0,0,0.0,1.01,186,KRW,4,186,70,37,33,24,21,13,5.61,0,0,0,0,0,28
2602_다이트_전환캠페인,(신)_창원_의료진정보_주사형비만치료제 10년은_260116,1856009703976129,2026-02-03,24338,1952,12468,5,4867,0.26,0,0,0.0,1.08,1926,KRW,4,1802,466,205,169,113,81,52,3.39,1,0,3,0,2,121
2602_다이트_전환캠페인,"(신)_창원_진료셀프캠_50대 여성, 뱃살부터 늘어나는 이유_251106",1856009313310977,2026-02-03,6855,804,8526,5,1371,0.62,0,0,0.0,1.04,795,KRW,1,773,141,49,54,30,24,17,2.7,1,0,0,0,0,26
2602_다이트_전환캠페인,(신)_창원_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856009703974929,2026-02-03,3432,445,7712,4,858,0.9,0,0,0.0,1.09,439,KRW,2,408,61,22,21,13,10,6,2.04,0,1,0,0,1,15
2602_다이트_전환캠페인,(신)_창원_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856009703974945,2026-02-03,3153,193,16336,0,0,0.0,0,0,0.0,1.08,190,KRW,0,179,35,12,12,12,7,5,2.04,1,0,0,0,0,8
2602_다이트_전환캠페인,(신)_창원_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1856010274794737,2026-02-03,39485,3319,11896,18,2193,0.54,0,0,0.0,1.1,3259,KRW,14,3014,904,325,267,178,137,61,3.05,9,0,1,1,2,196
2602_다이트_전환캠페인,(신)_천안_의료진정보_주사형비만치료제 10년은_260116,1856012116692049,2026-02-03,28877,2229,12955,9,3208,0.4,0,0,0.0,1.11,2196,KRW,8,2002,498,220,181,115,77,49,3.01,1,0,2,2,1,126
2602_다이트_전환캠페인,(신)_천안_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856012116691057,2026-02-03,3479,267,13029,1,3479,0.37,0,0,0.0,1.04,260,KRW,0,256,46,14,13,7,6,5,2.13,0,0,0,0,1,8
2602_다이트_전환캠페인,(신)_천안_진료셀프캠_비교하는 순간 다이어트는 실패_260123,1856012116691041,2026-02-03,943,126,7484,0,0,0.0,0,0,0.0,1.07,123,KRW,0,118,14,4,4,1,1,1,1.55,0,0,0,0,0,1
2602_다이트_전환캠페인,(신)_천안_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856012116692033,2026-02-03,2321,124,18717,1,2321,0.81,0,0,0.0,1.1,123,KRW,1,113,27,14,16,11,5,4,2.73,0,0,0,0,1,7
2602_다이트_전환캠페인,(신)_천안_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1856012116692065,2026-02-03,41840,2994,13974,26,1609,0.87,0,0,0.0,1.1,2953,KRW,16,2712,722,268,241,157,110,53,2.9,12,1,1,1,9,179
2601_다이트_전환캠페인,부평_의료진정보_주사형비만치료제 10년은_260116,1853174438054993,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,"부평_진료셀프캠_50대 여성, 뱃살부터 늘어나는 이유_251208",1853174438053921,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,수원_인플방문후기_내 몸 맞춤 다이어트(천안구석)_251223,1853174438077473,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,"일산_의료진정보_다이어트의 적!밥,빵,면_251208",1853174573584385,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,창원_의료진정보_위고비마운자로 10년은_260116,1853174638246945,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,"창원_진료셀프캠_50대 여성, 뱃살부터 늘어나는 이유_251106",1853174638245937,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,창원_진료셀프캠_창원에 샤넬은 없지만_251217,1853174638245921,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2601_다이트_전환캠페인,천안_의료진정보_주사형비만치료제 10년은_260116,1853174573613057,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2602_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1856011845555218,2026-02-04,10529,1084,9713,11,957,1.01,1,10529,9.09,1.06,1068,KRW,7,1026,265,107,90,54,37,24,5.99,1,0,1,0,1,62
2602_다이트_전환캠페인,(신)_대구_인플방문후기_먹으면서 다이어트(대읽남)_251017,1856011845553186,2026-02-04,50687,6068,8353,15,3379,0.25,1,50687,6.67,1.1,5994,KRW,7,5516,1023,300,408,247,194,168,1.89,8,0,0,1,9,185
2602_다이트_전환캠페인,(신)_대구_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856011845553202,2026-02-04,2206,265,8324,2,1103,0.75,0,0,0.0,1.09,263,KRW,2,243,31,9,8,5,5,4,2.12,1,0,0,0,0,5
2602_다이트_전환캠페인,(신)_대구_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856011845555202,2026-02-04,986,109,9045,1,986,0.92,0,0,0.0,1.04,106,KRW,1,105,23,7,7,5,4,0,2.1,0,0,0,0,0,5
2602_다이트_전환캠페인,(신)_대구_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1856011845555234,2026-02-04,31939,2876,11105,16,1996,0.56,2,15969,12.5,1.11,2805,KRW,10,2599,828,288,250,170,137,67,3.44,7,0,1,1,3,179
2602_다이트_전환캠페인,(신)_부평_의료진정보_주사형비만치료제 10년은_260116,1856010851355953,2026-02-04,72025,7547,9543,36,2000,0.48,0,0,0.0,1.1,7451,KRW,21,6837,1835,807,664,395,291,170,3.36,14,1,3,3,17,443
2602_다이트_전환캠페인,"(신)_부평_진료셀프캠_50대 여성, 뱃살부터 늘어나는 이유_251208",1856010851355905,2026-02-04,6457,1005,6424,3,2152,0.3,0,0,0.0,1.05,989,KRW,3,961,236,75,90,47,35,27,2.56,1,0,0,0,2,38
2602_다이트_전환캠페인,(신)_부평_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856010851355921,2026-02-04,19091,1848,10330,2,9545,0.11,0,0,0.0,1.13,1809,KRW,2,1640,246,91,79,45,35,24,1.94,2,0,0,1,1,46
2602_다이트_전환캠페인,(신)_부평_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856010851355937,2026-02-04,6335,600,10558,4,1583,0.67,0,0,0.0,1.13,578,KRW,4,533,116,53,57,26,16,8,2.17,1,0,0,0,1,20
2602_다이트_전환캠페인,(신)_부평_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1856010851356865,2026-02-04,50183,4615,10873,22,2281,0.48,1,50183,4.55,1.15,4529,KRW,13,4015,1233,420,363,219,152,77,3.01,7,0,0,0,4,236
2602_다이트_전환캠페인,"(신)_서울_의료진정보_다이어트의 적!밥,빵,면_251020",1856010540141713,2026-02-04,37984,3671,10347,26,1460,0.71,0,0,0.0,1.06,3613,KRW,19,3460,1230,394,334,173,120,98,4.66,7,1,0,0,5,183
2602_다이트_전환캠페인,(신)_서울_의료진정보_주사형비만치료제 10년은_260116,1856010540142849,2026-02-04,14125,1396,10118,16,882,1.15,1,14125,6.25,1.05,1372,KRW,12,1330,368,193,164,106,78,48,4.48,2,1,2,0,1,121
2602_다이트_전환캠페인,(신)_서울_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856010540141729,2026-02-04,3237,335,9662,1,3237,0.3,0,0,0.0,1.05,314,KRW,2,320,53,22,18,7,5,5,2.09,0,0,0,0,0,6
2602_다이트_전환캠페인,(신)_서울_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856010540141745,2026-02-04,1037,108,9601,0,0,0.0,0,0,0.0,1.02,106,KRW,0,106,17,5,6,3,2,1,1.71,0,0,0,0,0,2
2602_다이트_전환캠페인,(신)_서울_진료셀프캠_주사형 비만치료제보다 더중요한이것_26120,1856010540142865,2026-02-04,50100,4563,10979,49,1022,1.07,6,8350,12.24,1.08,4453,KRW,38,4235,1412,600,526,353,273,138,4.45,10,2,1,0,13,379
