age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,364527,5,262,72683,0,2.6,1.1,72905.0,0.36,0.42,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,3616297,113,1811,414472,2,25.8,24.9,32003.0,0.44,0.97,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,6037325,196,3079,478529,5,43.1,43.3,30803.0,0.64,1.0,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,3977712,139,2238,347968,4,28.4,30.7,28617.0,0.64,1.08,➡️ 양호,⚠️ 귀속 주의 4건 포함
