weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,2954684,104,1567,265218,4,14.8,15.5,28410.0,0.59,6.64,1.05
화,3011213,102,1546,258027,4,15.1,15.2,29522.0,0.6,6.6,1.01
수,2597927,100,1400,264725,4,13.0,14.9,25979.0,0.53,7.14,1.15
목,2788529,83,1381,255569,4,14.0,12.4,33597.0,0.54,6.01,0.89
금,3641615,109,1889,352668,5,18.3,16.2,33409.0,0.54,5.77,0.89
토,3495923,130,1980,309769,5,17.5,19.3,26892.0,0.64,6.57,1.1
일,1449379,44,757,113623,5,7.3,6.5,32940.0,0.67,5.81,0.89
