hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,621303,15,384,59258,4.3,3.1,41420.0,0.65,3.91,0.72
1,420378,32,257,39293,2.9,6.7,13137.0,0.65,12.45,2.31
2,275362,7,172,24641,1.9,1.5,39337.0,0.7,4.07,0.79
3,211965,8,137,17826,1.5,1.7,26496.0,0.77,5.84,1.13
4,220096,10,125,16257,1.5,2.1,22010.0,0.77,8.0,1.4
5,299296,7,158,19735,2.1,1.5,42757.0,0.8,4.43,0.71
6,562955,23,361,35725,3.9,4.8,24476.0,1.01,6.37,1.23
7,791732,16,433,54117,5.5,3.3,49483.0,0.8,3.7,0.6
8,756978,22,373,53858,5.3,4.6,34408.0,0.69,5.9,0.87
9,657763,25,327,47313,4.6,5.2,26311.0,0.69,7.65,1.13
10,609607,28,289,45609,4.2,5.8,21772.0,0.63,9.69,1.38
11,559292,10,212,42695,3.9,2.1,55929.0,0.5,4.72,0.54
12,549493,15,254,49084,3.8,3.1,36633.0,0.52,5.91,0.82
13,556977,17,232,51526,3.9,3.5,32763.0,0.45,7.33,0.9
14,542532,7,270,53175,3.8,1.5,77505.0,0.51,2.59,0.39
15,624341,20,308,64541,4.3,4.2,31217.0,0.48,6.49,0.98
16,633850,16,354,74093,4.4,3.3,39616.0,0.48,4.52,0.75
17,676428,17,341,76392,4.7,3.5,39790.0,0.45,4.99,0.74
18,705529,19,362,74416,4.9,4.0,37133.0,0.49,5.25,0.82
19,739391,20,348,75464,5.1,4.2,36970.0,0.46,5.75,0.82
20,813459,36,405,86060,5.7,7.5,22596.0,0.47,8.89,1.32
21,871953,33,494,93565,6.1,6.9,26423.0,0.53,6.68,1.13
22,864056,42,507,95638,6.0,8.8,20573.0,0.53,8.28,1.47
23,803064,34,483,87157,5.6,7.1,23620.0,0.55,7.04,1.27
