소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,8785436,351,4791,682738,8,66.1,67.0,25030.0,0.7,7.33,1.01
인플방문후기,4247958,164,2319,441556,7,31.9,31.3,25902.0,0.53,7.07,0.98
의료진정보,263850,9,131,34802,2,2.0,1.7,29317.0,0.38,6.87,0.85
