소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,8042167,333,4435,633792,8,64.9,66.2,24151.0,0.7,7.51,1.02
인플방문후기,4089752,161,2239,425425,7,33.0,32.0,25402.0,0.53,7.19,0.97
의료진정보,256532,9,126,33401,2,2.1,1.8,28504.0,0.38,7.14,0.86
