weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,2954684,104,1567,265218,4,15.2,15.7,28410.0,0.59,6.64,1.03
화,3011213,102,1546,258027,4,15.5,15.4,29522.0,0.6,6.6,0.99
수,2597927,100,1400,264725,4,13.4,15.1,25979.0,0.53,7.14,1.13
목,3291606,100,1637,293734,5,16.9,15.1,32916.0,0.56,6.11,0.89
금,3641615,109,1889,352668,5,18.7,16.5,33409.0,0.54,5.77,0.88
토,2908360,115,1684,261265,5,15.0,17.4,25290.0,0.64,6.83,1.16
일,1035272,32,546,87478,4,5.3,4.8,32352.0,0.62,5.86,0.91
