age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,348179,5,256,70207,0,2.7,1.2,69636.0,0.36,0.44,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,3414716,110,1730,395060,2,26.2,25.9,31043.0,0.44,0.99,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,5621359,182,2853,451840,5,43.1,42.9,30887.0,0.63,1.0,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,3660362,127,2073,326228,5,28.1,30.0,28822.0,0.64,1.07,➡️ 양호,⚠️ 귀속 주의 5건 포함
