hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,590000,14,364,56597,4.4,3.1,42143.0,0.64,3.85,0.7
1,394060,32,251,36826,2.9,7.1,12314.0,0.68,12.75,2.45
2,258614,7,163,23326,1.9,1.5,36945.0,0.7,4.29,0.79
3,201176,8,133,16949,1.5,1.8,25147.0,0.78,6.02,1.2
4,206095,10,117,15289,1.5,2.2,20610.0,0.77,8.55,1.47
5,276083,6,145,18612,2.1,1.3,46014.0,0.78,4.14,0.62
6,515835,20,331,33199,3.9,4.4,25792.0,1.0,6.04,1.13
7,720507,16,400,50625,5.4,3.5,45032.0,0.79,4.0,0.65
8,697798,20,346,50645,5.2,4.4,34890.0,0.68,5.78,0.85
9,597815,22,293,43554,4.5,4.9,27173.0,0.67,7.51,1.09
10,558552,25,262,42273,4.2,5.5,22342.0,0.62,9.54,1.31
11,504479,8,191,38832,3.8,1.8,63060.0,0.49,4.19,0.47
12,506788,15,235,45821,3.8,3.3,33786.0,0.51,6.38,0.87
13,517225,17,208,48613,3.9,3.8,30425.0,0.43,8.17,0.97
14,507193,7,252,50846,3.8,1.5,72456.0,0.5,2.78,0.39
15,585745,19,291,61855,4.4,4.2,30829.0,0.47,6.53,0.95
16,596075,16,334,70893,4.5,3.5,37255.0,0.47,4.79,0.78
17,636925,16,324,72905,4.8,3.5,39808.0,0.44,4.94,0.73
18,658725,17,338,70751,4.9,3.8,38749.0,0.48,5.03,0.78
19,689456,19,335,71698,5.2,4.2,36287.0,0.47,5.67,0.81
20,763005,34,377,81409,5.7,7.5,22441.0,0.46,9.02,1.32
21,819417,33,462,88892,6.1,7.3,24831.0,0.52,7.14,1.2
22,813795,38,476,90734,6.1,8.4,21416.0,0.52,7.98,1.38
23,752494,33,451,81705,5.6,7.3,22803.0,0.55,7.32,1.3
