소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.56,3.92,41428.0,1,0.29,5.26,35191.0,-48.2,34.2,-15.1,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
인플방문후기,2,0.52,6.84,27205.0,5,0.58,9.18,18081.0,11.5,34.2,-33.5,"재가공 유효 — 클릭, 전환 모두 개선"
진료셀프캠,0,,,,8,0.7,7.7,23682.0,,,,데이터 부족 — 판정 불가
