age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,296541,5,215,58681,0,2.7,1.3,59308.0,0.37,0.48,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,2834060,97,1452,329255,2,26.0,25.5,29217.0,0.44,0.98,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,4667670,164,2334,378025,5,42.8,43.2,28461.0,0.62,1.01,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,3100520,114,1740,274800,4,28.4,30.0,27198.0,0.63,1.06,➡️ 양호,⚠️ 귀속 주의 4건 포함
