소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,6696573,300,3728,556128,9,57.7,62.0,22322.0,0.67,8.05,1.07
의료진정보,236252,9,119,29983,2,2.0,1.9,26250.0,0.4,7.56,0.95
인플방문후기,4675492,175,2506,475879,9,40.3,36.2,26717.0,0.53,6.98,0.9
