hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,451708,13,276,42732,4.1,3.3,34747.0,0.65,4.71,0.8
1,319177,30,207,30388,2.9,7.6,10639.0,0.68,14.49,2.62
2,214896,7,136,19801,2.0,1.8,30699.0,0.69,5.15,0.9
3,170961,7,101,14534,1.6,1.8,24423.0,0.69,6.93,1.12
4,174876,9,93,13119,1.6,2.3,19431.0,0.71,9.68,1.44
5,233024,5,120,15926,2.1,1.3,46605.0,0.75,4.17,0.62
6,426375,19,265,28506,3.9,4.8,22441.0,0.93,7.17,1.23
7,604577,12,338,44551,5.5,3.0,50381.0,0.76,3.55,0.55
8,601408,19,298,45459,5.5,4.8,31653.0,0.66,6.38,0.87
9,512035,17,245,38511,4.7,4.3,30120.0,0.64,6.94,0.91
10,487836,22,226,37604,4.5,5.6,22174.0,0.6,9.73,1.24
11,451362,8,163,33888,4.1,2.0,56420.0,0.48,4.91,0.49
12,435661,13,201,39585,4.0,3.3,33512.0,0.51,6.47,0.82
13,448404,16,182,41733,4.1,4.1,28025.0,0.44,8.79,1.0
14,446917,7,226,44957,4.1,1.8,63845.0,0.5,3.1,0.44
15,507728,17,257,54707,4.6,4.3,29866.0,0.47,6.61,0.93
16,514065,16,295,62849,4.7,4.1,32129.0,0.47,5.42,0.87
17,531870,14,286,63269,4.9,3.5,37991.0,0.45,4.9,0.71
18,523044,16,272,58518,4.8,4.1,32690.0,0.46,5.88,0.85
19,532644,15,255,55704,4.9,3.8,35510.0,0.46,5.88,0.78
20,577405,26,292,63159,5.3,6.6,22208.0,0.46,8.9,1.25
21,633985,26,357,69217,5.8,6.6,24384.0,0.52,7.28,1.14
22,618261,32,361,70921,5.7,8.1,19321.0,0.51,8.86,1.42
23,513229,29,313,56255,4.7,7.3,17698.0,0.56,9.27,1.55
